City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
671,Maceió,BR,-9.6658,-35.7353,78.24,94,100,5.75,overcast clouds
672,Aranda de Duero,ES,41.6704,-3.6892,57.34,69,58,4.76,broken clouds
673,Caratinga,BR,-19.7897,-42.1392,61.86,83,59,4.97,broken clouds
674,Labrador City,CA,52.9463,-66.9114,51.87,36,0,11.77,clear sky
675,Kanel,SN,15.4916,-13.1763,95.47,16,100,12.71,overcast clouds
676,Ar Ruways,AE,24.1103,52.7306,85.42,48,59,12.97,broken clouds
677,Pimentel,PE,-6.8367,-79.9342,77.29,73,40,16.11,scattered clouds
678,Itumbiara,BR,-18.4192,-49.2153,68.25,48,0,3.76,clear sky
679,King of Prussia,US,40.0893,-75.396,89.26,45,75,9.22,thunderstorm
680,Gizo Government Station,SB,-8.103,156.8419,82.18,76,100,1.79,light rain
681,Mulayjah,SA,27.271,48.4242,87.15,18,13,12.84,few clouds
682,Arrondissement de Sedan,FR,49.6667,5.0,51.55,78,4,7.85,clear sky
683,Jumla,NP,29.2747,82.1838,49.48,72,6,5.57,clear sky
684,Debre Sīna,ET,9.85,39.7667,53.78,84,77,3.38,moderate rain
685,Sŭngho 1-tong,KP,38.9914,125.9778,66.61,58,0,2.84,clear sky
686,New Plymouth,NZ,-39.0667,174.0833,58.8,77,47,18.52,scattered clouds
687,Bafoulabé,ML,13.8065,-10.8321,93.16,31,90,7.09,overcast clouds
688,Reggane,DZ,26.7158,0.1714,85.46,11,4,10.56,clear sky
689,Kalamunda,AU,-32.004,116.1329,44.29,94,0,6.91,clear sky
